Age,Nationality,Value,Wage,Preferred Foot,Weak Foot,Skill Moves,International Reputation,Real Face,Position,Likes,Dislikes,Following,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Growth,tier
26,England,12500000.0,58.0,Right,5,4,2,Yes,MF,129,17,1150,67.0,69.0,65.0,83.0,62.0,83.0,69.0,73.0,80.0,84.0,69.0,69.0,65.0,76.0,61.0,81.0,64.0,69.0,76.0,81.0,74.0,54.0,75.0,80.0,65.0,80.0,54.0,60.0,51.0,9.0,14.0,12.0,6.0,10.0,3,Others
25,Belgium,12000000.0,79.0,Right,4,4,2,Yes,ST,117,15,1050,69.0,77.0,75.0,74.0,70.0,78.0,54.0,40.0,59.0,78.0,78.0,85.0,71.0,77.0,66.0,81.0,76.0,70.0,77.0,70.0,69.0,28.0,78.0,69.0,65.0,77.0,16.0,24.0,18.0,15.0,13.0,16.0,11.0,15.0,5,Top 3
22,Wales,11000000.0,13.0,Left,4,4,1,Yes,MF,84,7,408,75.0,71.0,61.0,78.0,61.0,80.0,73.0,65.0,65.0,78.0,73.0,73.0,78.0,72.0,77.0,70.0,64.0,69.0,62.0,72.0,64.0,43.0,75.0,76.0,65.0,78.0,47.0,49.0,44.0,8.0,14.0,9.0,13.0,7.0,7,Others
26,France,22000000.0,58.0,Right,3,3,2,Yes,ST,70,4,489,42.0,84.0,86.0,74.0,83.0,74.0,57.0,46.0,48.0,80.0,64.0,74.0,67.0,83.0,53.0,81.0,80.0,72.0,89.0,65.0,76.0,36.0,83.0,75.0,91.0,81.0,39.0,61.0,55.0,6.0,7.0,14.0,7.0,6.0,2,Others
25,United States,8000000.0,64.0,Right,3,1,1,Yes,GK,50,2,267,14.0,9.0,13.0,51.0,8.0,15.0,13.0,11.0,52.0,31.0,54.0,52.0,58.0,72.0,49.0,55.0,71.0,39.0,69.0,12.0,31.0,19.0,9.0,57.0,37.0,56.0,13.0,12.0,12.0,77.0,72.0,73.0,71.0,83.0,6,Top 3
27,England,9500000.0,93.0,Right,3,4,2,Yes,MF,89,88,393,74.0,71.0,67.0,77.0,72.0,77.0,79.0,68.0,63.0,77.0,78.0,77.0,83.0,80.0,84.0,79.0,65.0,82.0,62.0,77.0,74.0,54.0,80.0,77.0,70.0,75.0,63.0,57.0,49.0,14.0,10.0,8.0,13.0,9.0,0,ManUtd
24,Nigeria,11500000.0,61.0,Right,3,4,1,Yes,MF,84,8,915,72.0,65.0,42.0,80.0,51.0,80.0,70.0,40.0,66.0,81.0,76.0,79.0,77.0,74.0,75.0,72.0,47.0,74.0,75.0,64.0,54.0,24.0,76.0,78.0,59.0,73.0,30.0,26.0,23.0,14.0,7.0,12.0,14.0,11.0,4,Others
27,Switzerland,15000000.0,80.0,Left,3,3,3,Yes,MF,103,19,674,71.0,50.0,62.0,85.0,50.0,66.0,76.0,77.0,85.0,80.0,48.0,55.0,49.0,73.0,61.0,90.0,31.0,82.0,79.0,75.0,91.0,72.0,67.0,80.0,63.0,67.0,70.0,71.0,68.0,7.0,8.0,11.0,7.0,13.0,1,Others
23,England,10500000.0,55.0,Right,3,3,1,Yes,DF,48,8,676,69.0,37.0,76.0,75.0,40.0,67.0,53.0,35.0,75.0,70.0,70.0,74.0,69.0,77.0,62.0,55.0,77.0,72.0,72.0,42.0,79.0,78.0,52.0,62.0,40.0,74.0,78.0,79.0,77.0,13.0,12.0,9.0,8.0,16.0,4,Others
26,Croatia,31500000.0,120.0,Right,4,4,3,Yes,MF,261,15,1507,73.0,61.0,42.0,90.0,76.0,88.0,79.0,70.0,82.0,89.0,78.0,73.0,87.0,82.0,84.0,79.0,76.0,79.0,63.0,75.0,77.0,74.0,72.0,84.0,59.0,81.0,70.0,73.0,66.0,9.0,5.0,6.0,7.0,7.0,3,Top 3
23,France,11500000.0,31.0,Right,3,2,2,Yes,DF,139,9,1626,37.0,30.0,75.0,67.0,48.0,50.0,32.0,34.0,63.0,63.0,62.0,68.0,52.0,73.0,47.0,50.0,74.0,69.0,86.0,31.0,79.0,79.0,42.0,43.0,44.0,72.0,77.0,80.0,81.0,10.0,7.0,6.0,14.0,9.0,7,Others
23,Mali,9000000.0,42.0,Right,3,4,1,Yes,MF,26,4,147,65.0,60.0,60.0,76.0,41.0,79.0,62.0,75.0,73.0,77.0,69.0,72.0,73.0,74.0,77.0,82.0,59.0,72.0,69.0,75.0,68.0,77.0,68.0,74.0,58.0,71.0,70.0,76.0,73.0,12.0,8.0,8.0,12.0,8.0,5,Others
23,Brazil,9500000.0,34.0,Right,4,3,1,Yes,ST,55,7,158,44.0,75.0,75.0,73.0,65.0,76.0,52.0,38.0,56.0,73.0,75.0,79.0,69.0,72.0,67.0,81.0,76.0,75.0,85.0,62.0,78.0,45.0,73.0,66.0,61.0,72.0,29.0,48.0,38.0,9.0,13.0,8.0,13.0,13.0,6,Others
26,Spain,7500000.0,57.0,Left,3,2,1,Yes,DF,35,9,70,32.0,38.0,82.0,69.0,28.0,41.0,27.0,30.0,63.0,60.0,54.0,51.0,49.0,74.0,37.0,53.0,75.0,72.0,86.0,40.0,80.0,72.0,34.0,37.0,31.0,67.0,76.0,74.0,70.0,6.0,14.0,7.0,13.0,12.0,3,Others
25,Iceland,1800000.0,25.0,Right,2,1,1,No,GK,14,1,40,18.0,14.0,17.0,16.0,13.0,13.0,17.0,14.0,15.0,32.0,45.0,46.0,43.0,61.0,55.0,54.0,59.0,41.0,56.0,15.0,23.0,12.0,16.0,39.0,22.0,42.0,12.0,19.0,15.0,71.0,68.0,72.0,70.0,71.0,5,Others
26,Brazil,53500000.0,195.0,Left,3,1,2,Yes,GK,107,16,659,20.0,14.0,14.0,57.0,18.0,23.0,15.0,20.0,59.0,40.0,64.0,63.0,60.0,87.0,48.0,70.0,66.0,41.0,78.0,18.0,38.0,27.0,20.0,70.0,17.0,70.0,29.0,15.0,8.0,86.0,82.0,93.0,86.0,88.0,3,Top 3
25,England,16000000.0,58.0,Right,3,3,2,Yes,MF,149,4,1203,89.0,70.0,57.0,85.0,51.0,75.0,91.0,89.0,82.0,82.0,66.0,55.0,75.0,75.0,77.0,78.0,65.0,90.0,56.0,75.0,67.0,67.0,67.0,82.0,82.0,79.0,67.0,68.0,62.0,12.0,12.0,10.0,15.0,15.0,4,Others
35,Brazil,9500000.0,110.0,Right,4,3,3,Yes,DF,40,12,137,68.0,66.0,71.0,86.0,73.0,76.0,70.0,72.0,81.0,82.0,67.0,62.0,69.0,88.0,77.0,83.0,84.0,78.0,76.0,78.0,87.0,89.0,70.0,73.0,61.0,81.0,88.0,86.0,83.0,12.0,11.0,5.0,13.0,7.0,0,Top 3
27,Egypt,8000000.0,60.0,Right,3,3,1,Yes,MF,27,5,213,66.0,57.0,61.0,78.0,39.0,68.0,69.0,56.0,77.0,75.0,55.0,55.0,65.0,74.0,62.0,78.0,69.0,87.0,68.0,67.0,73.0,75.0,63.0,67.0,62.0,75.0,74.0,74.0,72.0,7.0,15.0,15.0,12.0,6.0,1,Others
24,Brazil,8500000.0,72.0,Right,4,4,1,Yes,MF,175,23,1125,77.0,69.0,56.0,76.0,72.0,77.0,81.0,78.0,76.0,78.0,74.0,72.0,79.0,74.0,77.0,80.0,62.0,78.0,60.0,74.0,78.0,70.0,69.0,76.0,70.0,70.0,67.0,67.0,64.0,15.0,14.0,7.0,10.0,7.0,3,ManUtd
25,Guinea,22500000.0,96.0,Right,4,4,2,Yes,MF,157,10,1140,62.0,74.0,42.0,85.0,71.0,87.0,64.0,70.0,76.0,88.0,77.0,66.0,89.0,81.0,90.0,76.0,52.0,79.0,57.0,73.0,78.0,76.0,74.0,80.0,58.0,81.0,68.0,64.0,62.0,7.0,14.0,15.0,14.0,9.0,4,Top 3
26,Scotland,15000000.0,47.0,Right,4,3,1,Yes,MF,59,13,341,77.0,72.0,30.0,76.0,64.0,79.0,83.0,72.0,71.0,78.0,92.0,84.0,95.0,75.0,96.0,71.0,56.0,76.0,50.0,73.0,65.0,45.0,75.0,76.0,69.0,79.0,45.0,53.0,42.0,15.0,14.0,15.0,7.0,10.0,1,Others
18,England,450000.0,3.0,Left,3,2,1,No,DF,6,0,41,30.0,24.0,58.0,53.0,27.0,32.0,24.0,21.0,38.0,55.0,51.0,57.0,44.0,58.0,50.0,43.0,69.0,60.0,64.0,25.0,64.0,59.0,25.0,27.0,32.0,51.0,58.0,60.0,59.0,10.0,9.0,11.0,12.0,10.0,22,Others
20,England,3400000.0,29.0,Right,2,3,1,No,MF,27,3,121,49.0,66.0,48.0,70.0,40.0,73.0,52.0,53.0,72.0,72.0,64.0,62.0,67.0,70.0,68.0,62.0,57.0,75.0,60.0,66.0,68.0,67.0,70.0,70.0,54.0,59.0,52.0,66.0,50.0,7.0,6.0,15.0,9.0,9.0,13,Others
22,England,9000000.0,55.0,Right,3,3,1,Yes,MF,94,3,774,66.0,64.0,61.0,79.0,42.0,76.0,64.0,61.0,74.0,77.0,66.0,65.0,71.0,74.0,69.0,70.0,56.0,78.0,65.0,62.0,84.0,67.0,69.0,76.0,49.0,76.0,68.0,73.0,68.0,11.0,12.0,9.0,14.0,10.0,5,Others
28,Germany,33500000.0,105.0,Right,3,1,3,Yes,GK,113,8,682,9.0,9.0,13.0,50.0,10.0,16.0,9.0,8.0,48.0,35.0,55.0,56.0,52.0,81.0,44.0,60.0,73.0,43.0,70.0,14.0,28.0,25.0,7.0,56.0,23.0,66.0,27.0,15.0,18.0,85.0,83.0,80.0,84.0,86.0,2,Others
26,England,16500000.0,110.0,Right,4,3,2,Yes,DF,118,22,1523,62.0,29.0,81.0,80.0,27.0,69.0,47.0,29.0,75.0,80.0,64.0,71.0,60.0,78.0,59.0,46.0,81.0,77.0,77.0,38.0,78.0,80.0,49.0,67.0,44.0,76.0,81.0,84.0,81.0,7.0,15.0,11.0,10.0,8.0,3,Top 3
24,Burkina Faso,10000000.0,49.0,Left,1,4,2,Yes,ST,125,9,1300,69.0,72.0,66.0,74.0,72.0,82.0,79.0,73.0,67.0,86.0,81.0,82.0,88.0,69.0,59.0,73.0,81.0,68.0,65.0,66.0,60.0,54.0,72.0,68.0,69.0,69.0,47.0,40.0,37.0,11.0,7.0,7.0,13.0,12.0,3,Others
24,Denmark,15000000.0,69.0,Right,3,2,2,Yes,DF,166,13,1783,49.0,36.0,79.0,79.0,25.0,66.0,32.0,22.0,71.0,73.0,63.0,69.0,61.0,78.0,61.0,31.0,73.0,68.0,73.0,20.0,73.0,82.0,32.0,62.0,36.0,76.0,80.0,84.0,82.0,10.0,12.0,8.0,6.0,8.0,5,Top 3
31,England,7000000.0,66.0,Right,2,3,3,Yes,MF,42,7,195,73.0,70.0,58.0,70.0,71.0,78.0,76.0,74.0,61.0,77.0,86.0,86.0,79.0,76.0,77.0,76.0,62.0,67.0,55.0,65.0,65.0,35.0,74.0,67.0,69.0,74.0,37.0,39.0,36.0,11.0,8.0,9.0,9.0,8.0,0,Others
31,Belgium,28500000.0,130.0,Right,3,2,3,Yes,DF,51,9,253,64.0,45.0,82.0,79.0,38.0,62.0,63.0,69.0,82.0,75.0,60.0,65.0,59.0,85.0,62.0,78.0,82.0,78.0,79.0,58.0,81.0,85.0,52.0,62.0,58.0,86.0,88.0,89.0,85.0,16.0,6.0,14.0,16.0,14.0,0,Others
19,Republic of Ireland,1800000.0,15.0,Right,3,2,1,Yes,ST,33,6,170,51.0,73.0,63.0,64.0,64.0,70.0,60.0,41.0,44.0,69.0,83.0,76.0,84.0,68.0,89.0,72.0,69.0,67.0,65.0,59.0,60.0,13.0,69.0,61.0,67.0,66.0,18.0,23.0,15.0,11.0,11.0,13.0,12.0,9.0,12,Others
31,Serbia,11000000.0,105.0,Left,3,3,3,Yes,MF,70,9,236,70.0,59.0,74.0,82.0,73.0,78.0,70.0,67.0,82.0,78.0,42.0,45.0,43.0,79.0,47.0,84.0,65.0,66.0,84.0,72.0,77.0,81.0,69.0,71.0,64.0,82.0,81.0,82.0,74.0,7.0,15.0,12.0,14.0,9.0,0,ManUtd
18,England,425000.0,4.0,Right,4,3,1,No,ST,21,1,69,37.0,62.0,53.0,47.0,51.0,58.0,43.0,37.0,33.0,59.0,75.0,73.0,72.0,60.0,64.0,60.0,54.0,66.0,64.0,53.0,49.0,18.0,63.0,45.0,52.0,60.0,18.0,15.0,16.0,10.0,12.0,12.0,13.0,10.0,20,Others
21,Colombia,1500000.0,15.0,Right,3,3,1,Yes,MF,8,2,28,65.0,57.0,45.0,73.0,50.0,74.0,61.0,22.0,67.0,71.0,73.0,69.0,78.0,68.0,81.0,60.0,57.0,70.0,68.0,59.0,60.0,52.0,63.0,68.0,35.0,72.0,49.0,59.0,53.0,9.0,6.0,6.0,7.0,6.0,11,Others
22,England,2800000.0,40.0,Right,3,2,1,Yes,DF,54,3,675,38.0,30.0,66.0,73.0,25.0,47.0,30.0,22.0,68.0,66.0,52.0,68.0,58.0,68.0,52.0,36.0,74.0,68.0,79.0,28.0,57.0,73.0,28.0,44.0,35.0,76.0,69.0,70.0,69.0,14.0,11.0,11.0,8.0,9.0,11,Top 3
30,France,11500000.0,89.0,Right,3,3,2,Yes,MF,57,6,297,72.0,54.0,68.0,82.0,64.0,83.0,75.0,60.0,80.0,80.0,69.0,84.0,64.0,78.0,58.0,85.0,77.0,91.0,90.0,61.0,85.0,77.0,74.0,74.0,60.0,75.0,76.0,81.0,77.0,14.0,8.0,11.0,10.0,8.0,0,Others
26,England,14500000.0,89.0,Right,4,4,2,Yes,MF,109,14,816,78.0,70.0,39.0,80.0,60.0,84.0,73.0,60.0,75.0,84.0,78.0,79.0,79.0,78.0,87.0,83.0,69.0,78.0,70.0,78.0,77.0,73.0,79.0,81.0,69.0,77.0,68.0,72.0,68.0,16.0,9.0,6.0,9.0,9.0,1,Top 3
20,Wales,1400000.0,15.0,Right,4,3,1,Yes,MF,128,8,962,51.0,61.0,44.0,65.0,45.0,69.0,53.0,45.0,60.0,69.0,78.0,73.0,80.0,62.0,84.0,65.0,59.0,66.0,53.0,62.0,31.0,28.0,66.0,59.0,62.0,59.0,20.0,15.0,21.0,14.0,7.0,7.0,8.0,12.0,15,Top 3
27,England,10500000.0,69.0,Right,2,2,2,Yes,DF,35,2,789,60.0,50.0,81.0,69.0,40.0,64.0,53.0,33.0,67.0,66.0,55.0,61.0,56.0,76.0,61.0,58.0,83.0,66.0,86.0,46.0,75.0,78.0,29.0,55.0,48.0,69.0,78.0,79.0,79.0,16.0,7.0,8.0,14.0,11.0,1,Others
24,United States,2900000.0,35.0,Right,3,2,1,Yes,DF,93,12,951,25.0,18.0,72.0,65.0,34.0,53.0,27.0,21.0,54.0,66.0,58.0,57.0,57.0,66.0,42.0,35.0,79.0,68.0,83.0,32.0,80.0,69.0,27.0,32.0,31.0,69.0,65.0,72.0,73.0,10.0,7.0,14.0,7.0,15.0,6,Top 3
31,Republic of Ireland,9000000.0,76.0,Right,3,3,2,Yes,DF,36,4,210,77.0,61.0,69.0,77.0,64.0,77.0,65.0,53.0,69.0,76.0,72.0,69.0,73.0,78.0,74.0,75.0,71.0,72.0,65.0,66.0,80.0,79.0,70.0,70.0,55.0,82.0,78.0,82.0,80.0,5.0,15.0,10.0,13.0,7.0,0,Others
27,Ivory Coast,13000000.0,86.0,Right,3,3,2,Yes,DF,100,16,1050,81.0,55.0,75.0,77.0,61.0,76.0,69.0,30.0,69.0,79.0,77.0,76.0,70.0,78.0,76.0,71.0,92.0,76.0,73.0,55.0,86.0,77.0,70.0,71.0,64.0,75.0,74.0,79.0,82.0,7.0,10.0,15.0,16.0,9.0,0,Others
28,Switzerland,18000000.0,105.0,Left,4,5,3,Yes,MF,112,11,617,79.0,70.0,45.0,80.0,76.0,84.0,88.0,84.0,79.0,82.0,79.0,77.0,83.0,78.0,91.0,87.0,51.0,66.0,71.0,84.0,61.0,55.0,75.0,80.0,65.0,81.0,35.0,49.0,48.0,13.0,12.0,12.0,11.0,11.0,0,Top 3
26,Spain,13500000.0,90.0,Right,4,4,1,Yes,ST,61,3,517,70.0,79.0,75.0,77.0,77.0,83.0,78.0,60.0,51.0,80.0,79.0,78.0,83.0,82.0,79.0,72.0,73.0,79.0,55.0,69.0,74.0,49.0,82.0,76.0,73.0,77.0,59.0,61.0,42.0,12.0,12.0,11.0,14.0,8.0,0,Others
27,Brazil,18500000.0,53.0,Right,4,4,3,Yes,MF,153,10,1312,79.0,70.0,44.0,79.0,73.0,87.0,77.0,69.0,76.0,84.0,88.0,89.0,89.0,75.0,87.0,85.0,33.0,68.0,55.0,81.0,67.0,69.0,75.0,77.0,53.0,84.0,47.0,59.0,46.0,12.0,10.0,9.0,5.0,7.0,0,Others
25,Italy,14000000.0,77.0,Left,2,3,2,Yes,DF,36,4,211,78.0,51.0,60.0,77.0,51.0,79.0,53.0,71.0,66.0,80.0,83.0,79.0,75.0,77.0,76.0,80.0,67.0,74.0,57.0,77.0,69.0,78.0,72.0,57.0,55.0,72.0,77.0,77.0,76.0,8.0,15.0,8.0,7.0,14.0,3,Top 3
26,Spain,17500000.0,25.0,Right,4,4,3,Yes,MF,142,19,1343,76.0,75.0,40.0,77.0,72.0,87.0,84.0,77.0,62.0,84.0,89.0,87.0,93.0,75.0,83.0,77.0,35.0,69.0,67.0,71.0,60.0,25.0,77.0,76.0,77.0,77.0,34.0,30.0,22.0,12.0,16.0,14.0,11.0,11.0,1,Others
24,England,8500000.0,49.0,Right,3,2,1,Yes,DF,58,4,371,52.0,30.0,75.0,71.0,27.0,62.0,33.0,30.0,61.0,65.0,56.0,61.0,58.0,70.0,65.0,48.0,77.0,64.0,76.0,27.0,72.0,77.0,40.0,57.0,38.0,74.0,76.0,78.0,76.0,14.0,11.0,10.0,14.0,13.0,7,Others
18,England,525000.0,3.0,Left,3,2,1,No,DF,0,0,7,58.0,40.0,57.0,36.0,29.0,66.0,50.0,43.0,35.0,50.0,65.0,61.0,53.0,63.0,64.0,37.0,63.0,57.0,52.0,34.0,62.0,63.0,50.0,48.0,47.0,42.0,57.0,62.0,68.0,7.0,8.0,11.0,11.0,15.0,22,Others
30,England,10000000.0,100.0,Right,3,2,3,Yes,DF,45,16,229,52.0,54.0,82.0,65.0,49.0,59.0,49.0,22.0,64.0,58.0,59.0,75.0,55.0,78.0,44.0,42.0,73.0,67.0,88.0,35.0,83.0,80.0,46.0,56.0,52.0,67.0,79.0,82.0,81.0,10.0,15.0,16.0,15.0,15.0,0,ManUtd
28,Scotland,3900000.0,63.0,Left,2,2,1,No,DF,5,1,19,45.0,26.0,74.0,67.0,33.0,53.0,31.0,26.0,62.0,62.0,49.0,52.0,55.0,72.0,62.0,52.0,80.0,72.0,79.0,38.0,78.0,74.0,39.0,47.0,34.0,67.0,71.0,73.0,74.0,10.0,12.0,10.0,9.0,15.0,1,Others
30,Spain,24500000.0,120.0,Right,3,2,3,Yes,DF,76,5,255,81.0,46.0,75.0,78.0,51.0,67.0,68.0,58.0,80.0,77.0,68.0,66.0,72.0,86.0,73.0,68.0,79.0,81.0,70.0,60.0,86.0,85.0,62.0,74.0,66.0,78.0,85.0,85.0,85.0,13.0,9.0,10.0,6.0,5.0,0,Top 3
19,England,650000.0,9.0,Right,3,4,1,No,MF,29,4,147,56.0,49.0,54.0,64.0,53.0,62.0,60.0,48.0,59.0,60.0,72.0,75.0,73.0,57.0,63.0,62.0,60.0,53.0,58.0,55.0,51.0,40.0,57.0,66.0,55.0,65.0,47.0,44.0,39.0,6.0,10.0,12.0,13.0,8.0,20,Top 3
28,France,6000000.0,60.0,Right,3,3,1,No,MF,22,1,266,67.0,49.0,65.0,78.0,43.0,71.0,69.0,54.0,72.0,77.0,71.0,65.0,74.0,73.0,87.0,62.0,76.0,73.0,67.0,64.0,77.0,74.0,56.0,60.0,55.0,70.0,74.0,75.0,74.0,14.0,12.0,9.0,12.0,15.0,0,Others
28,England,18500000.0,59.0,Right,3,1,1,Yes,GK,25,2,98,11.0,14.0,11.0,32.0,14.0,15.0,13.0,12.0,35.0,24.0,50.0,47.0,36.0,75.0,42.0,56.0,72.0,37.0,73.0,15.0,36.0,21.0,13.0,43.0,22.0,62.0,14.0,15.0,14.0,79.0,81.0,75.0,83.0,84.0,1,Others
35,Spain,2900000.0,57.0,Right,3,4,2,Yes,MF,9,1,28,77.0,73.0,58.0,75.0,65.0,77.0,81.0,77.0,73.0,79.0,70.0,67.0,78.0,68.0,84.0,74.0,60.0,77.0,53.0,74.0,54.0,56.0,71.0,80.0,70.0,78.0,40.0,38.0,54.0,13.0,16.0,9.0,9.0,7.0,0,Others
23,England,7500000.0,41.0,Right,4,3,1,No,ST,58,3,527,55.0,73.0,61.0,67.0,63.0,72.0,63.0,59.0,53.0,74.0,84.0,85.0,78.0,72.0,74.0,79.0,76.0,75.0,77.0,74.0,74.0,36.0,76.0,62.0,69.0,67.0,33.0,42.0,36.0,16.0,13.0,12.0,15.0,9.0,5,Others
30,Iceland,12000000.0,83.0,Right,4,3,3,Yes,MF,54,6,245,84.0,73.0,60.0,83.0,76.0,78.0,87.0,85.0,77.0,85.0,57.0,54.0,66.0,76.0,61.0,84.0,65.0,79.0,64.0,83.0,57.0,59.0,77.0,81.0,78.0,80.0,60.0,62.0,57.0,13.0,8.0,10.0,15.0,12.0,0,Others
21,France,4600000.0,23.0,Right,2,3,1,Yes,DF,32,1,147,66.0,42.0,59.0,64.0,34.0,72.0,55.0,41.0,57.0,66.0,72.0,70.0,66.0,70.0,67.0,69.0,69.0,74.0,69.0,64.0,75.0,72.0,59.0,57.0,41.0,64.0,72.0,74.0,69.0,12.0,14.0,7.0,11.0,14.0,10,Others
20,England,1200000.0,15.0,Right,3,3,1,No,MF,19,1,93,64.0,39.0,44.0,71.0,31.0,69.0,48.0,38.0,63.0,70.0,85.0,79.0,79.0,58.0,86.0,44.0,60.0,79.0,57.0,42.0,68.0,63.0,59.0,63.0,36.0,67.0,58.0,62.0,57.0,14.0,14.0,11.0,9.0,11.0,15,Others
26,Belgium,13000000.0,60.0,Right,5,4,2,Yes,ST,116,9,842,65.0,81.0,75.0,62.0,77.0,78.0,66.0,46.0,36.0,79.0,75.0,75.0,75.0,77.0,75.0,81.0,80.0,64.0,79.0,73.0,63.0,23.0,81.0,62.0,67.0,81.0,37.0,26.0,22.0,9.0,10.0,16.0,7.0,15.0,3,Others
24,Scotland,9000000.0,31.0,Right,3,3,1,Yes,ST,37,0,159,40.0,77.0,79.0,70.0,72.0,69.0,42.0,31.0,55.0,75.0,59.0,64.0,57.0,75.0,54.0,77.0,77.0,69.0,79.0,59.0,77.0,28.0,75.0,66.0,65.0,68.0,32.0,29.0,20.0,13.0,11.0,12.0,13.0,13.0,4,Others
23,Brazil,10500000.0,49.0,Right,3,3,1,Yes,ST,97,6,423,58.0,74.0,75.0,72.0,74.0,71.0,57.0,49.0,68.0,77.0,61.0,76.0,53.0,73.0,45.0,84.0,70.0,75.0,91.0,72.0,83.0,37.0,77.0,71.0,69.0,76.0,35.0,37.0,15.0,12.0,13.0,14.0,8.0,6.0,5,Others
26,United States,8000000.0,34.0,Right,3,3,1,Yes,DF,130,5,897,68.0,40.0,65.0,70.0,60.0,73.0,70.0,28.0,53.0,74.0,92.0,92.0,84.0,74.0,77.0,73.0,85.0,77.0,58.0,51.0,76.0,68.0,66.0,63.0,38.0,72.0,69.0,74.0,71.0,7.0,15.0,7.0,11.0,11.0,1,Others
26,Paraguay,12000000.0,43.0,Left,2,4,1,Yes,MF,97,8,730,72.0,69.0,43.0,77.0,75.0,82.0,74.0,70.0,69.0,77.0,89.0,89.0,87.0,80.0,64.0,78.0,48.0,80.0,53.0,66.0,69.0,53.0,75.0,78.0,69.0,74.0,49.0,53.0,49.0,6.0,9.0,13.0,13.0,12.0,1,Others
28,Norway,9000000.0,19.0,Right,3,4,1,Yes,ST,34,3,219,65.0,77.0,68.0,73.0,73.0,79.0,70.0,53.0,62.0,78.0,84.0,90.0,74.0,77.0,74.0,78.0,72.0,76.0,77.0,76.0,73.0,34.0,77.0,71.0,81.0,77.0,33.0,39.0,27.0,12.0,9.0,11.0,12.0,7.0,0,Others
20,Republic of Ireland,2600000.0,23.0,Right,3,2,1,Yes,ST,13,2,141,40.0,70.0,65.0,64.0,65.0,68.0,32.0,39.0,34.0,71.0,79.0,75.0,77.0,72.0,76.0,72.0,72.0,68.0,61.0,65.0,50.0,16.0,72.0,47.0,61.0,61.0,12.0,18.0,15.0,12.0,8.0,12.0,13.0,12.0,7,Others
27,Wales,14500000.0,86.0,Left,3,3,2,Yes,DF,27,2,239,78.0,58.0,66.0,79.0,48.0,75.0,72.0,48.0,70.0,78.0,73.0,73.0,68.0,78.0,68.0,65.0,74.0,83.0,69.0,52.0,76.0,79.0,64.0,75.0,54.0,74.0,77.0,82.0,80.0,11.0,7.0,6.0,7.0,14.0,1,Others
33,Brazil,7000000.0,80.0,Right,3,3,4,Yes,DF,69,48,185,68.0,55.0,80.0,77.0,63.0,68.0,70.0,72.0,80.0,79.0,59.0,61.0,66.0,76.0,56.0,81.0,77.0,68.0,78.0,72.0,85.0,80.0,54.0,71.0,75.0,75.0,77.0,81.0,79.0,11.0,12.0,10.0,7.0,14.0,0,Others
19,England,1600000.0,13.0,Right,4,3,1,No,MF,13,4,80,65.0,62.0,53.0,64.0,54.0,73.0,63.0,57.0,51.0,69.0,76.0,74.0,75.0,62.0,78.0,59.0,61.0,55.0,56.0,58.0,42.0,24.0,60.0,59.0,60.0,62.0,22.0,20.0,18.0,9.0,10.0,9.0,6.0,10.0,14,Others
23,England,6000000.0,71.0,Left,3,4,1,Yes,ST,136,4,1248,66.0,67.0,44.0,73.0,52.0,78.0,66.0,49.0,65.0,77.0,79.0,75.0,92.0,63.0,90.0,65.0,43.0,56.0,33.0,67.0,38.0,21.0,71.0,75.0,62.0,76.0,37.0,18.0,19.0,12.0,7.0,8.0,7.0,12.0,8,Top 3
26,Morocco,7000000.0,46.0,Right,4,4,2,Yes,MF,76,3,846,69.0,63.0,35.0,75.0,70.0,86.0,74.0,63.0,62.0,83.0,79.0,77.0,88.0,62.0,84.0,71.0,41.0,54.0,52.0,65.0,47.0,19.0,71.0,73.0,69.0,72.0,16.0,40.0,32.0,9.0,16.0,10.0,14.0,7.0,0,Others
33,France,27000000.0,125.0,Left,1,1,4,Yes,GK,60,5,236,13.0,10.0,10.0,50.0,11.0,10.0,11.0,10.0,50.0,34.0,65.0,62.0,55.0,85.0,54.0,51.0,74.0,41.0,43.0,14.0,31.0,27.0,10.0,30.0,40.0,65.0,29.0,10.0,18.0,89.0,82.0,68.0,84.0,90.0,0,Others
18,England,525000.0,4.0,Right,3,2,1,No,DF,26,1,157,41.0,29.0,64.0,55.0,33.0,49.0,44.0,34.0,52.0,58.0,61.0,64.0,51.0,57.0,62.0,54.0,68.0,65.0,59.0,28.0,60.0,60.0,36.0,49.0,43.0,57.0,61.0,63.0,62.0,9.0,5.0,10.0,13.0,14.0,21,Top 3
27,Brazil,11000000.0,75.0,Right,4,4,2,Yes,MF,66,10,556,72.0,65.0,59.0,75.0,68.0,84.0,77.0,69.0,66.0,83.0,89.0,79.0,94.0,75.0,95.0,76.0,61.0,69.0,30.0,66.0,41.0,42.0,73.0,74.0,61.0,72.0,31.0,42.0,25.0,6.0,11.0,13.0,10.0,12.0,0,Others
